slice_degree,slice_definition,is_target_slice,support,support_pct,baseline_accuracy,sliceaware_accuracy,accuracy_delta_vs_baseline,baseline_gap_vs_overall,sliceaware_gap_vs_overall,gap_delta_vs_baseline,baseline_avg_true_winner_probability,sliceaware_avg_true_winner_probability,probability_delta_vs_baseline,delta_direction
2,tourney_level=500 & form_gap_bucket=0.25-0.40,False,30,0.0508,0.6333,0.7,0.0667,0.0232,0.0915,0.0684,0.5816,0.5892,0.0076,up
2,tourney_level=500 & rank_gap_bucket=>100,False,16,0.0271,0.8125,0.875,0.0625,0.2023,0.2665,0.0642,0.6803,0.6484,-0.0319,up
2,tourney_level=500 & rank_gap_bucket=11-25,False,34,0.0576,0.5294,0.5882,0.0588,-0.0808,-0.0202,0.0605,0.5131,0.5093,-0.0038,up
2,rank_gap_bucket=>100 & form_gap_bucket=0.00-0.10,False,37,0.0627,0.5405,0.5946,0.0541,-0.0696,-0.0139,0.0557,0.565,0.5559,-0.0091,up
2,round=R32 & rank_gap_bucket=>100,False,40,0.0678,0.725,0.775,0.05,0.1148,0.1665,0.0517,0.6217,0.6115,-0.0102,up
2,tourney_level=500 & age_gap_bucket=3-5,False,40,0.0678,0.525,0.575,0.05,-0.0852,-0.0335,0.0517,0.5309,0.5191,-0.0118,up
2,rank_gap_bucket=26-50 & form_gap_bucket=0.10-0.25,False,42,0.0712,0.5714,0.619,0.0476,-0.0387,0.0106,0.0493,0.5715,0.5674,-0.0041,up
2,tourney_level=500 & rank_gap_bucket=0-10,False,21,0.0356,0.4286,0.4762,0.0476,-0.1816,-0.1323,0.0493,0.5029,0.4894,-0.0135,up
2,rank_gap_bucket=51-100 & form_gap_bucket=0.00-0.10,False,43,0.0729,0.5814,0.6279,0.0465,-0.0288,0.0194,0.0482,0.5475,0.5512,0.0038,up
2,round=R16 & rank_gap_bucket=11-25,False,24,0.0407,0.5833,0.625,0.0417,-0.0268,0.0165,0.0434,0.5395,0.5239,-0.0156,up
1,tourney_level=500,False,122,0.2068,0.6066,0.6475,0.041,-0.0036,0.0391,0.0427,0.5727,0.564,-0.0087,up
2,surface=Hard & tourney_level=500,False,122,0.2068,0.6066,0.6475,0.041,-0.0036,0.0391,0.0427,0.5727,0.564,-0.0087,up
2,tourney_level=500 & best_of=3,False,122,0.2068,0.6066,0.6475,0.041,-0.0036,0.0391,0.0427,0.5727,0.564,-0.0087,up
2,tourney_level=D & form_gap_bucket=0.00-0.10,False,25,0.0424,0.52,0.56,0.04,-0.0902,-0.0485,0.0417,0.5285,0.5247,-0.0037,up
2,rank_gap_bucket=>100 & age_gap_bucket=6-8,False,25,0.0424,0.72,0.76,0.04,0.1098,0.1515,0.0417,0.614,0.6088,-0.0052,up
2,round=R16 & rank_gap_bucket=51-100,False,27,0.0458,0.7407,0.7778,0.037,0.1306,0.1693,0.0387,0.646,0.6432,-0.0028,up
2,tourney_level=D & form_gap_bucket=0.10-0.25,False,27,0.0458,0.2963,0.3333,0.037,-0.3139,-0.2751,0.0387,0.4607,0.4578,-0.0028,up
2,tourney_level=500 & form_gap_bucket=0.00-0.10,False,54,0.0915,0.5556,0.5926,0.037,-0.0546,-0.0159,0.0387,0.5538,0.5419,-0.0119,up
2,tourney_level=250 & round=R32,False,84,0.1424,0.5476,0.5833,0.0357,-0.0626,-0.0251,0.0374,0.5344,0.538,0.0036,up
2,age_gap_bucket=>8 & form_gap_bucket=0.25-0.40,False,28,0.0475,0.6429,0.6786,0.0357,0.0327,0.0701,0.0374,0.5489,0.5551,0.0062,up
2,tourney_level=D & rank_gap_bucket=>100,False,28,0.0475,0.6786,0.7143,0.0357,0.0684,0.1058,0.0374,0.5888,0.5829,-0.0059,up
2,tourney_level=M & rank_gap_bucket=51-100,False,29,0.0492,0.6897,0.7241,0.0345,0.0795,0.1157,0.0362,0.6178,0.6141,-0.0037,up
